"City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal","latitude","longitude","n"
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","CROCKER, Ian","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","LOCHTE, Ryan","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","SCHIPPER, Jess","Women","AUS","Australia","W","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","MILLS, Alice","Women","AUS","Australia","W","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Swimming","100m backstroke","COUGHLIN, Natalie","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","400m freestyle","THORPE, Ian","Men","AUS","Australia","M","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Swimming","200m backstroke","COVENTRY, Kirsty","Women","ZIM","Zimbabwe","W","Gold",-19.015438,29.154857,7
"Athens",2004,"Aquatics","Swimming","200m butterfly","PHELPS, Michael","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","GOLDBLATT, Scott","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","HANSEN, Brendan","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","800m freestyle","SHIBATA, Ai","Women","JPN","Japan","W","Gold",36.204824,138.252924,145
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","KELLER, Klete","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","COUGHLIN, Natalie","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","400m freestyle","MANAUDOU, Laure","Women","FRA","France","W","Gold",46.227638,2.213749,129
"Athens",2004,"Aquatics","Swimming","200m freestyle","THORPE, Ian","Men","AUS","Australia","M","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","THOMAS, Petria","Women","AUS","Australia","W","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Swimming","200m breaststroke","BEARD, Amanda","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","JEFFREY, Rhi","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","1500m freestyle","HACKETT, Grant","Men","AUS","Australia","M","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Swimming","50m freestyle","DE BRUIJN, Inge","Women","NED","Netherlands","W","Gold",52.132633,5.291266,138
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","KRAYZELBURG, Lenny","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","HENRY, Jodie","Women","AUS","Australia","W","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","ROONEY, Giaan","Women","AUS","Australia","W","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","BENKO, Lindsay","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","SANDENO, Kaitlin","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","LEZAK, Jason","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","100m breaststroke","KITAJIMA, Kosuke","Men","JPN","Japan","M","Gold",36.204824,138.252924,145
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","VANDERKAAY, Peter","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","PEIRSOL, Aaron","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","HANSON, Brooke","Women","AUS","Australia","W","Gold",-25.274398,133.775136,306
"Athens",2004,"Aquatics","Synchronized S.","team","BRUSNIKINA, Olga","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Aquatics","Synchronized S.","team","SHORINA, Anna","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Aquatics","Synchronized S.","team","KISSELEVA, Maria","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Aquatics","Synchronized S.","duet","ERMAKOVA, Anastasia","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Aquatics","Synchronized S.","team","GROMOVA, Maria","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Aquatics","Synchronized S.","team","DAVYDOVA, Anastasia","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Aquatics","Synchronized S.","team","KHASYANOVA, Elvira","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Aquatics","Synchronized S.","team","NOVOKSHCHENOVA, Olga","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Aquatics","Synchronized S.","duet","DAVYDOVA, Anastasia","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Aquatics","Synchronized S.","team","AZAROVA, Elena","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Aquatics","Synchronized S.","team","ERMAKOVA, Anastasia","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Aquatics","Water polo","water polo","MICELI, Martina","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
"Athens",2004,"Aquatics","Water polo","water polo","BOSURGI, Silvia","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
"Athens",2004,"Aquatics","Water polo","water polo","GIGLI, Elena","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
"Athens",2004,"Aquatics","Water polo","water polo","TOTH, Noemi","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
"Athens",2004,"Aquatics","Water polo","water polo","MADARAS, Norbert","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","VARI, Attila","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","STEINMETZ, Adam","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","DI MARIO, Tania","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
"Athens",2004,"Aquatics","Water polo","water polo","RAGUSA, Cinzia","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
