"City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal","latitude","longitude"
"Athens",2004,"Aquatics","Swimming","100m freestyle","VAN DEN HOOGENBAND, Pieter","Men","NED","Netherlands","M","Gold",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","VAN DEN HOOGENBAND, Pieter","Men","NED","Netherlands","M","Silver",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","100m breaststroke","LUO, Xuejuan","Women","CHN","China","W","Gold",35.86166,104.195397
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","COUGHLIN, Natalie","Women","USA","United States","W","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","PELLICIARI, Matteo","Men","ITA","Italy","M","Bronze",41.87194,12.56738
"Athens",2004,"Aquatics","Swimming","100m butterfly","PHELPS, Michael","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","100m butterfly","JEDRZEJCZAK, Otylia","Women","POL","Poland","W","Silver",51.919438,19.145136
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","WEIR, Amanda","Women","USA","United States","W","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","200m individual medley","PHELPS, Michael","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","100m breaststroke","DUBOSCQ, Hugues","Men","FRA","France","M","Bronze",46.227638,2.213749
"Athens",2004,"Aquatics","Swimming","200m breaststroke","KITAJIMA, Kosuke","Men","JPN","Japan","M","Gold",36.204824,138.252924
"Athens",2004,"Aquatics","Swimming","200m freestyle","VAN DEN HOOGENBAND, Pieter","Men","NED","Netherlands","M","Silver",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","200m freestyle","FIGUES, Solenne","Women","FRA","France","W","Bronze",46.227638,2.213749
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","YAMAMOTO, Takashi","Men","JPN","Japan","M","Bronze",36.204824,138.252924
"Athens",2004,"Aquatics","Swimming","200m backstroke","NAKAMURA, Reiko","Women","JPN","Japan","W","Bronze",36.204824,138.252924
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","WOODWARD, Gabe","Men","USA","United States","M","Bronze",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","POEWE, Sarah","Women","GER","Germany","W","Bronze",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","100m backstroke","COVENTRY, Kirsty","Women","ZIM","Zimbabwe","W","Silver",-19.015438,29.154857
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","FERNS, Lyndon","Men","RSA","South Africa","M","Gold",-30.559482,22.937506
"Athens",2004,"Aquatics","Swimming","200m backstroke","ROGAN, Markus","Men","AUT","Austria","M","Silver",47.516231,14.550072
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","OKUMURA, Yoshihiro","Men","JPN","Japan","M","Bronze",36.204824,138.252924
"Athens",2004,"Aquatics","Swimming","100m freestyle","HENRY, Jodie","Women","AUS","Australia","W","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","VOLLMER, Dana","Women","USA","United States","W","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","200m backstroke","PEIRSOL, Aaron","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","200m individual medley","BEARD, Amanda","Women","USA","United States","W","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","WALKER, Neil","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","KETCHUM, Dan","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","400m individual medley","PHELPS, Michael","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","THORPE, Ian","Men","AUS","Australia","M","Silver",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","400m freestyle","SANDENO, Kaitlin","Women","USA","United States","W","Bronze",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","200m freestyle","POTEC, Camelia","Women","ROU","Romania","W","Gold",45.943161,24.96676
"Athens",2004,"Aquatics","Swimming","200m butterfly","JEDRZEJCZAK, Otylia","Women","POL","Poland","W","Gold",51.919438,19.145136
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","SPRENGER, Nicholas","Men","AUS","Australia","M","Silver",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","THOMPSON, Jenny","Women","USA","United States","W","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","LEZAK, Jason","Men","USA","United States","M","Bronze",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","MEEUW, Helge","Men","GER","Germany","M","Silver",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","DRIESEN, Steffen","Men","GER","Germany","M","Silver",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","BUSCHSCHULTE, Antje","Women","GER","Germany","W","Bronze",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","THOMAS, Petria","Women","AUS","Australia","W","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","WALKER, Neil","Men","USA","United States","M","Bronze",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","50m freestyle","METELLA, Malia","Women","FRA","France","W","Silver",46.227638,2.213749
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","PHELPS, Michael","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","DUSING, Nate","Men","USA","United States","M","Bronze",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","MILLS, Alice","Women","AUS","Australia","W","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","800m freestyle","MANAUDOU, Laure","Women","FRA","France","W","Silver",46.227638,2.213749
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","HARSTICK, Sara","Women","GER","Germany","W","Bronze",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","100m butterfly","THOMAS, Petria","Women","AUS","Australia","W","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","PHELPS, Michael","Men","USA","United States","M","Bronze",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","50m freestyle","HALL, Gary Jr.","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","PANG, Jiaying","Women","CHN","China","W","Silver",35.86166,104.195397
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","HACKETT, Grant","Men","AUS","Australia","M","Silver",-25.274398,133.775136
