"Sport","n"
"Aquatics",347
"Athletics",177
"Rowing",144
"Football",108
"Gymnastics",99
"Hockey",98
"Handball",85
"Canoe / Kayak",84
"Volleyball",84
"Baseball",72
"Basketball",72
"Cycling",71
"Wrestling",71
"Fencing",62
"Judo",56
"Sailing",54
"Equestrian",45
"Shooting",45
"Softball",45
"Weightlifting",45
"Boxing",44
"Taekwondo",32
"Archery",24
"Badminton",24
"Table Tennis",24
"Tennis",18
"Modern Pentathlon",6
"Triathlon",6
